"Name","GUID","ProtoFile","CommodityType","DefaultState","CollectionTrigger","Volatility","DefaultCollectionInterval","ShortestCollectionInterval","DefaultConfigState","DefaultCollectionSchedule","DefaultTransmission","Description"
"StartupSettingInfo","56373274-f306-4751-a4fc-14684da67f7f","StartupSettingInfo.proto","WindowsConfig","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Startup Setting"
"SystemboardInfo","70350172-f987-4e0b-9b9b-3192d8fdf17d","SystemboardInfo.proto","SystemDevice","Dormant","OnDemandOnly","Nonvolatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","System Board"
"SystemInformation","b7e11d31-cdcd-4842-beb0-c2d7c897b9da","SystemInformation.proto","SystemInfo","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","System"
"SystemRestorePointInfo","7c1ec6e6-46c8-4d32-ac49-728058bb3927","SystemRestorePointInfo.proto","WindowsConfig","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","System Restore Point"
"ThermalInfo","1edd70fc-9f1e-48fa-9b73-345404e94a4a","ThermalInfo.proto","Thermistor","Dormant","Periodic","Volatile","00 d 00 hr 15 min 00 sec","00 d 00 hr 00 min 05 sec","Enabled","","","Thermal"
"ThermalStaticInfo","61d62957-ec0e-42a1-bd55-ffa779f31f7b","ThermalInfo.proto","Thermistor","Dormant","OnDemandOnly","Nonvolatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 01 sec","Enabled","Midday","","Thermal Static Info"
"TouchPadInfo","7aabbeff-e97f-4a72-a1d4-8859242d2b66","TouchPadInfo.proto","Touchpad","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 15 min 00 sec","Enabled","Midday","","TouchPad Collector"
"TouchScreenInfo","6ea248d3-8065-4502-a50f-5c1a7ad6174a","TouchScreenInfo.proto","Touchscreen","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 15 min 00 sec","Enabled","Midday","","TouchScreen"
"TpmData","4feec24b-fbfb-4ed9-a27d-0b8949bb9b70","TPMData.proto","SecurityHardware","Dormant","OnDemandOnly","Nonvolatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Trusted Platform Module"
"UpdateInfo","e1d6b685-2bb8-4b4f-aef4-6f072618dbf1","UpdateInfo.proto","SoftwareInventory","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Windows Update"
"UsbData","4d897a05-a7c6-4068-82a0-49b7dcd054a7","USBData.proto","UsbPort","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","USB"
"UserSelectableThermalTablesInfo","a5bd1b31-e4d6-4fe7-9ef7-764615545dfe","UserSelectableThermalTables.proto","Thermistor","Dormant","OnDemandOnly","Changeable","00 d 00 hr 02 min 00 sec","00 d 00 hr 00 min 30 sec","","","","User Selectable Thermal Tables Information"
"VideoAdapterInfo","b20047c0-42b1-46d5-8d0b-ab3d7badf467","VideoAdapterInfo.proto","Graphics","Dormant","OnDemandOnly","Volatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Video Adapter"
"WebBrowserInfo","72b00bba-bc29-4b32-a1ed-3399533ccdda","WebBrowserInfo.proto","ApplicationConfig","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Web Browser"
"WindowsSambaServer","80f0d271-dd07-4161-a64b-3327e38cdc4f","WindowsSambaServer.proto","WindowsConfig","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Windows Samba Server"
"WindowsServiceInfo","e25536c9-f9ea-43bb-89d6-0f238bc7336b","WindowsServiceInfo.proto","WindowsConfig","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Windows Service"
"WindowsUpdateConfigInfo","97045ffe-3459-4337-a49d-37b0dc3a8bf0","WindowsUpdateConfigInfo.proto","WindowsConfig","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Windows Update Configuration"
"WindowsUserSettingsInfo","19f0d893-eaa6-42ad-a6a3-c34b0bcb9b77","WindowsUserSettingsInfo.proto","WindowsConfig","Dormant","OnDemandOnly","Changeable","00 d 00 hr 15 min 00 sec","00 d 00 hr 00 min 30 sec","Enabled","Midday","","Windows User settings information"
"WLANStaticData","0717da50-7ec9-4919-838d-1d26ab7dc44e","WLANData.proto","Network","Dormant","OnDemandOnly","Nonvolatile","00 d 01 hr 00 min 00 sec","00 d 00 hr 05 min 00 sec","Enabled","Midday","","WLAN Static"
"WLANDynamicData","c9981323-7a5c-42ac-ab38-12f06e23dc45","WLANData.proto","Network","Dormant","Periodic","Volatile","00 d 01 hr 00 min 00 sec","00 d 00 hr 05 min 00 sec","Enabled","","","WLAN Dynamic"
"WWANStaticData","5826aa63-5355-4d9b-8bab-d6678454ab61","WWANData.proto","Network","Dormant","OnDemandOnly","Nonvolatile","00 d 01 hr 00 min 00 sec","00 d 00 hr 05 min 00 sec","Enabled","Midday","","WWAN static data"
"WWANDynamicData","f40c7c68-f128-497d-b92a-77ab1ad47530","WWANData.proto","Network","Dormant","Periodic","Changeable","00 d 01 hr 00 min 00 sec","00 d 00 hr 05 min 00 sec","Enabled","","","WWAN dynamic data"
"WWANData","0826f3f9-e124-4122-a93a-f72372ac3662","WWANData.proto","Network","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","WWAN"
"AuxiliaryStorageItem","5a2ed287-812e-4d7c-b21b-9d9cdbba2508","Apparatus.proto","Disk","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Data metrics of auxiliary storage."
